Date	Price	Open	High	Low	Vol.	Change %
12/20/2022	"39,832.45"	"40,970.82"	"41,037.14"	"39,533.29"		-2.78%
12/19/2022	"40,970.82"	"41,301.48"	"41,393.37"	"40,814.95"		-0.80%
12/16/2022	"41,301.48"	"41,179.76"	"41,393.97"	"41,087.59"		0.30%
12/15/2022	"41,179.76"	"41,737.62"	"41,996.82"	"41,109.95"		-1.34%
12/14/2022	"41,737.62"	"41,714.30"	"41,873.91"	"41,542.32"		0.06%
12/13/2022	"41,714.30"	"41,540.55"	"41,770.57"	"41,512.43"		0.42%
12/12/2022	"41,540.55"	"41,698.28"	"41,784.48"	"41,511.20"		-0.38%
12/9/2022	"41,698.28"	"41,651.61"	"41,747.57"	"41,550.70"		0.11%
12/8/2022	"41,651.61"	"41,819.29"	"41,927.37"	"41,598.94"		-0.40%
12/7/2022	"41,819.29"	"41,539.94"	"41,900.81"	"41,539.94"		0.67%
12/6/2022	"41,539.94"	"41,612.67"	"41,743.92"	"41,296.54"		-0.17%
12/5/2022	"41,612.67"	"42,150.10"	"42,248.53"	"41,514.81"		-1.28%
12/2/2022	"42,150.10"	"42,393.52"	"42,471.19"	"41,946.49"		-0.57%
12/1/2022	"42,393.52"	"42,348.63"	"42,658.39"	"42,348.63"		0.11%
11/30/2022	"42,348.63"	"42,373.59"	"42,515.63"	"42,274.16"		-0.06%
11/29/2022	"42,373.59"	"42,071.34"	"42,438.08"	"42,042.48"		0.72%
11/28/2022	"42,071.34"	"42,936.73"	"42,936.73"	"41,963.94"		-2.02%
11/25/2022	"42,936.73"	"42,903.65"	"43,120.54"	"42,876.24"		0.08%
11/24/2022	"42,903.65"	"42,880.31"	"43,014.60"	"42,865.38"		0.05%
11/23/2022	"42,880.31"	"42,928.62"	"43,040.58"	"42,790.25"		-0.11%
11/22/2022	"42,928.62"	"42,761.19"	"43,076.45"	"42,761.19"		0.39%
11/21/2022	"42,761.19"	"42,730.24"	"42,853.94"	"42,664.53"		0.07%
11/18/2022	"42,730.24"	"42,819.72"	"42,819.72"	"42,600.99"		-0.21%
11/17/2022	"42,819.72"	"42,983.75"	"43,099.75"	"42,769.37"		-0.38%
11/16/2022	"42,983.75"	"42,796.85"	"43,097.57"	"42,728.67"		0.44%
11/15/2022	"42,796.85"	"42,850.83"	"43,035.78"	"42,748.71"		-0.13%
11/14/2022	"42,850.83"	"43,092.95"	"43,092.95"	"42,761.88"		-0.56%
11/11/2022	"43,092.95"	"42,901.27"	"43,120.83"	"42,805.88"		0.45%
11/10/2022	"42,901.27"	"42,265.36"	"42,959.28"	"42,265.36"		1.50%
11/8/2022	"42,265.36"	"42,047.36"	"42,313.64"	"42,047.36"		0.52%
11/7/2022	"42,047.36"	"41,856.31"	"42,207.42"	"41,856.31"		0.46%
11/4/2022	"41,856.31"	"42,090.71"	"42,090.71"	"41,720.90"		-0.56%
11/3/2022	"42,090.71"	"41,944.59"	"42,173.46"	"41,887.51"		0.35%
11/2/2022	"41,944.59"	"41,808.69"	"42,004.90"	"41,727.15"		0.33%
11/1/2022	"41,808.69"	"41,264.66"	"41,833.43"	"41,264.66"		1.32%
10/31/2022	"41,264.66"	"41,140.34"	"41,375.40"	"41,140.34"		0.30%
10/28/2022	"41,140.33"	"41,602.86"	"41,641.51"	"41,115.21"		-1.11%
10/27/2022	"41,602.85"	"41,540.03"	"41,711.66"	"41,318.66"		0.15%
10/26/2022	"41,540.03"	"42,190.02"	"42,190.02"	"41,490.13"		-1.54%
10/25/2022	"42,190.02"	"42,347.23"	"42,523.51"	"42,156.68"		-0.37%
10/24/2022	"42,347.23"	"42,213.48"	"42,672.34"	"42,213.48"		0.32%
10/21/2022	"42,213.48"	"42,137.04"	"42,245.51"	"41,793.64"		0.18%
10/20/2022	"42,137.04"	"42,226.05"	"42,422.22"	"42,097.31"		-0.21%
10/19/2022	"42,226.05"	"41,839.27"	"42,265.22"	"41,839.27"		0.92%
10/18/2022	"41,839.26"	"41,755.45"	"42,007.23"	"41,755.45"		0.20%
10/17/2022	"41,755.45"	"41,948.50"	"41,988.50"	"41,725.96"		-0.46%
10/14/2022	"41,948.50"	"42,085.72"	"42,237.29"	"41,897.05"		-0.33%
10/13/2022	"42,085.72"	"42,007.14"	"42,121.40"	"41,900.85"		0.19%
10/12/2022	"42,007.14"	"42,155.48"	"42,195.36"	"41,950.98"		-0.35%
10/11/2022	"42,155.48"	"42,211.64"	"42,410.83"	"42,053.81"		-0.13%
10/10/2022	"42,211.64"	"42,085.25"	"42,441.29"	"42,071.67"		0.30%
10/7/2022	"42,085.25"	"42,160.57"	"42,389.20"	"41,992.11"		-0.18%
10/6/2022	"42,160.57"	"41,611.42"	"42,201.55"	"41,611.42"		1.32%
10/5/2022	"41,611.42"	"41,350.43"	"41,668.46"	"41,350.43"		0.63%
10/4/2022	"41,350.43"	"41,211.70"	"41,587.73"	"41,211.70"		0.34%
10/3/2022	"41,211.70"	"41,128.67"	"41,403.73"	"41,090.52"		0.20%
9/30/2022	"41,128.67"	"41,013.86"	"41,134.99"	"40,753.94"		0.28%
9/29/2022	"41,013.86"	"41,435.13"	"41,435.13"	"40,910.82"		-1.02%
9/28/2022	"41,435.13"	"41,518.23"	"41,820.95"	"41,391.18"		-0.20%
9/27/2022	"41,518.23"	"41,151.54"	"41,589.89"	"41,151.54"		0.89%
9/26/2022	"41,151.54"	"40,620.21"	"41,196.63"	"40,620.21"		1.31%
9/23/2022	"40,620.21"	"40,927.95"	"41,128.83"	"40,514.33"		-0.75%
9/22/2022	"40,927.95"	"40,965.58"	"40,986.95"	"40,417.92"		-0.09%
9/21/2022	"40,965.58"	"41,220.91"	"41,357.75"	"40,871.82"		-0.62%
9/20/2022	"41,220.91"	"41,520.59"	"41,642.02"	"41,078.71"		-0.72%
9/19/2022	"41,520.59"	"41,679.49"	"41,896.62"	"41,504.64"		-0.38%
9/16/2022	"41,679.49"	"41,772.09"	"41,916.86"	"41,603.48"		-0.22%
9/15/2022	"41,772.09"	"42,011.82"	"42,311.63"	"41,724.81"		-0.39%
9/14/2022	"41,937.62"	"42,001.34"	"42,084.45"	"41,912.84"		-0.15%
9/13/2022	"42,001.34"	"41,862.29"	"42,092.72"	"41,862.29"		0.33%
